Age,Age_Showing,Growth_Rate,CI_low,CI_high
13.8,13.8,0.22278,0.16708,0.27931
13.9,13.9,0.22244,0.1673,0.2785
14,14,0.22209,0.16749,0.27765
14.1,14.1,0.22174,0.16772,0.27684
14.2,14.2,0.22138,0.16791,0.27602
14.3,14.3,0.22102,0.1681,0.2752
14.4,14.4,0.22065,0.16829,0.274
14.5,14.5,0.22028,0.16846,0.27309
14.6,14.6,0.2199,0.16863,0.27224
14.7,14.7,0.21952,0.16889,0.27143
14.8,14.8,0.21913,0.16903,0.27043
14.9,14.9,0.21874,0.16941,0.26962
15,15,0.21835,0.16972,0.26897
15.1,15.1,0.21795,0.16993,0.26804
15.2,15.2,0.21754,0.17048,0.26694
15.3,15.3,0.21713,0.17075,0.26585
15.4,15.4,0.21671,0.17066,0.26492
15.5,15.5,0.21629,0.17036,0.26395
15.6,15.6,0.21587,0.17005,0.26307
15.7,15.7,0.21544,0.17,0.26224
15.8,15.8,0.215,0.17008,0.26151
15.9,15.9,0.21456,0.17021,0.26108
16,16,0.21412,0.17067,0.2604
16.1,16.1,0.21367,0.17103,0.25971
16.2,16.2,0.21322,0.17107,0.25885
16.3,16.3,0.21276,0.1711,0.25812
16.4,16.4,0.2123,0.17132,0.25732
16.5,16.5,0.21183,0.17105,0.25643
16.6,16.6,0.21135,0.17086,0.25554
16.7,16.7,0.21088,0.17068,0.25459
16.8,16.8,0.21039,0.17052,0.25364
16.9,16.9,0.20991,0.17045,0.25276
17,17,0.20941,0.17033,0.25196
17.1,17.1,0.20892,0.17026,0.25099
17.2,17.2,0.20841,0.17009,0.24992
17.3,17.3,0.20791,0.16994,0.24911
17.4,17.4,0.20739,0.16987,0.24792
17.5,17.5,0.20688,0.16971,0.24672
17.6,17.6,0.20636,0.16951,0.24588
17.7,17.7,0.20583,0.16922,0.24474
17.8,17.8,0.2053,0.16892,0.24434
17.9,17.9,0.20476,0.16898,0.2435
18,18,0.20422,0.1689,0.24261
18.1,18.1,0.20368,0.16868,0.24176
18.2,18.2,0.20312,0.16836,0.24091
18.3,18.3,0.20257,0.16829,0.2399
18.4,18.4,0.20201,0.16816,0.23903
18.5,18.5,0.20144,0.16793,0.23808
18.6,18.6,0.20087,0.16776,0.23713
18.7,18.7,0.2003,0.16755,0.23618
18.8,18.8,0.19972,0.16733,0.2354
18.9,18.9,0.19913,0.16711,0.23455
19,19,0.19855,0.16688,0.23362
19.1,19.1,0.19795,0.16663,0.2328
19.2,19.2,0.19735,0.16641,0.2319
19.3,19.3,0.19675,0.16617,0.23094
19.4,19.4,0.19614,0.16591,0.22974
19.5,19.5,0.19553,0.16555,0.22881
19.6,19.6,0.19491,0.16499,0.22798
19.7,19.7,0.19428,0.16443,0.22742
19.8,19.8,0.19366,0.16386,0.22678
19.9,19.9,0.19302,0.16336,0.22572
20,20,0.19239,0.16301,0.22466
20.1,20.1,0.19174,0.16274,0.22391
20.2,20.2,0.1911,0.16263,0.22298
20.3,20.3,0.19044,0.16276,0.22237
20.4,20.4,0.18979,0.16247,0.22171
20.5,20.5,0.18913,0.1621,0.22104
20.6,20.6,0.18846,0.16171,0.22043
20.7,20.7,0.18779,0.16133,0.21981
20.8,20.8,0.18711,0.16087,0.21872
20.9,20.9,0.18643,0.16033,0.21792
21,21,0.18574,0.15993,0.21711
21.1,21.1,0.18505,0.15951,0.21621
21.2,21.2,0.18436,0.15903,0.21557
21.3,21.3,0.18366,0.15856,0.21489
21.4,21.4,0.18295,0.15807,0.21411
21.5,21.5,0.18224,0.15756,0.21325
21.6,21.6,0.18153,0.15708,0.2125
21.7,21.7,0.18081,0.1565,0.21191
21.8,21.8,0.18008,0.15579,0.21088
21.9,21.9,0.17935,0.15553,0.2103
22,22,0.17862,0.15496,0.20969
