Age,Age_Showing,5th_centile,25th_centile,50th_centile,75th_centile,95th_centile,CI_low_5th,CI_high_5th,CI_low_25th,CI_high_25th,CI_low_50th,CI_high_50th,CI_low_75th,CI_high_75th,CI_low_95th,CI_high_95th
10.8,10.8,0.59573,0.64383,0.67035,0.69339,0.72369,0.59348,0.59789,0.64222,0.64545,0.66882,0.67178,0.69182,0.69484,0.72189,0.72537
10.9,10.9,0.59621,0.64416,0.67059,0.69355,0.72376,0.59397,0.59837,0.64255,0.64576,0.66907,0.672,0.692,0.69499,0.72198,0.72542
11,11,0.59669,0.64448,0.67082,0.69371,0.72382,0.59446,0.59885,0.64288,0.64606,0.66932,0.67223,0.69217,0.69514,0.72204,0.72548
11.1,11.1,0.59717,0.6448,0.67106,0.69388,0.72389,0.59493,0.59932,0.64321,0.64636,0.66957,0.67245,0.69235,0.69528,0.7221,0.72554
11.2,11.2,0.59764,0.64512,0.67129,0.69404,0.72395,0.59541,0.59979,0.64355,0.64667,0.66982,0.67267,0.69253,0.69543,0.72219,0.72558
11.3,11.3,0.5981,0.64543,0.67152,0.69419,0.72401,0.59587,0.60023,0.64388,0.64697,0.67006,0.67288,0.6927,0.69557,0.72225,0.72563
11.4,11.4,0.59856,0.64574,0.67175,0.69435,0.72407,0.59634,0.60067,0.64421,0.64727,0.67029,0.67309,0.69289,0.69571,0.72232,0.72567
11.5,11.5,0.59902,0.64605,0.67198,0.6945,0.72413,0.5968,0.60113,0.64453,0.64758,0.67052,0.6733,0.69307,0.69585,0.7224,0.72573
11.6,11.6,0.59947,0.64636,0.6722,0.69466,0.7242,0.59727,0.60152,0.64485,0.64787,0.67078,0.67351,0.69325,0.69599,0.72247,0.72579
11.7,11.7,0.59992,0.64666,0.67242,0.69481,0.72426,0.59773,0.60196,0.64516,0.64817,0.67102,0.67371,0.69341,0.69613,0.72254,0.72585
11.8,11.8,0.60036,0.64695,0.67264,0.69496,0.72432,0.59819,0.60239,0.64547,0.64846,0.67126,0.67391,0.69357,0.69627,0.72262,0.72591
11.9,11.9,0.60079,0.64725,0.67286,0.69511,0.72438,0.59867,0.60282,0.64577,0.64875,0.6715,0.67412,0.69372,0.69642,0.72268,0.72596
12,12,0.60123,0.64754,0.67307,0.69526,0.72444,0.59912,0.60324,0.64607,0.64903,0.67174,0.67432,0.69388,0.69657,0.72275,0.72599
12.1,12.1,0.60165,0.64783,0.67329,0.6954,0.72449,0.59953,0.60365,0.64636,0.6493,0.67196,0.67451,0.69403,0.69671,0.72282,0.72604
12.2,12.2,0.60208,0.64812,0.6735,0.69555,0.72455,0.59995,0.60408,0.64665,0.64957,0.67218,0.67471,0.69418,0.69686,0.7229,0.72609
12.3,12.3,0.6025,0.6484,0.6737,0.69569,0.72461,0.60038,0.60449,0.64694,0.64984,0.6724,0.6749,0.69434,0.69699,0.72298,0.72614
12.4,12.4,0.60291,0.64868,0.67391,0.69583,0.72467,0.60081,0.60489,0.64723,0.65011,0.67262,0.67509,0.69448,0.69711,0.72304,0.7262
12.5,12.5,0.60332,0.64896,0.67411,0.69597,0.72472,0.60123,0.6053,0.64752,0.65037,0.67284,0.67528,0.69463,0.69723,0.72312,0.72624
12.6,12.6,0.60372,0.64923,0.67431,0.69611,0.72478,0.60165,0.60571,0.64781,0.65064,0.67305,0.67548,0.69479,0.69735,0.72319,0.72629
12.7,12.7,0.60412,0.6495,0.67451,0.69625,0.72484,0.60206,0.60611,0.6481,0.65089,0.67327,0.67567,0.69494,0.69749,0.72326,0.72633
12.8,12.8,0.60452,0.64977,0.67471,0.69638,0.72489,0.60247,0.60649,0.64839,0.65115,0.67347,0.67586,0.69509,0.69761,0.72333,0.72638
